lucode,CLASS_NAME,Kc_1,Kc_2,Kc_3,Kc_4,Kc_5,Kc_6,Kc_7,Kc_8,Kc_9,Kc_10,Kc_11,Kc_12
1,Corn,0.3,0.3,0.3,0.3,0.3,0.75,1.2,1.2,0.966666667,0.733333333,0.5,0.3
4,Sorghum,0.3,0.3,0.3,0.3,0.3,0.65,1,1,0.85,0.7,0.55,0.3
5,Soybeans,0.4,0.4,0.4,0.4,0.4,0.775,1.15,1.15,0.933333333,0.716666667,0.5,0.4
6,Sunflower,0.35,0.35,0.35,0.35,0.35,0.715,1.08,1.08,0.836666667,0.593333333,0.35,0.35
12,Sweet Corn,0.7,0.7,0.7,0.7,0.7,0.925,1.15,1.15,1.116666667,1.083333333,1.05,0.7
14,Mint,0.7,0.7,0.7,0.7,0.7,0.875,1.05,1.05,1.016666667,0.983333333,0.95,0.7
21,Barley,0.3,0.3,0.3,0.3,0.3,0.725,1.15,1.15,0.85,0.55,0.25,0.3
23,Spring Wheat,0.7,0.7,0.7,0.7,0.7,0.925,1.15,1.15,0.866666667,0.583333333,0.3,0.7
24,Winter Wheat,0.4,0.4,0.4,0.4,0.4,0.775,1.15,1.15,0.876666667,0.603333333,0.33,0.4
26,Dbl Crop WinWht/Soybeans,0.775,0.775,0.775,0.775,0.775,0.9625,1.15,1.15,0.866666667,0.583333333,0.3,0.775
27,Rye,0.3,0.3,0.3,0.3,0.3,0.725,1.15,1.15,0.85,0.55,0.25,0.3
28,Oats,0.3,0.3,0.3,0.3,0.3,0.725,1.15,1.15,0.9,0.65,0.4,0.3
29,Millet,0.3,0.3,0.3,0.3,0.3,0.725,1.15,1.15,0.9,0.65,0.4,0.3
35,Mustard,0.7,0.7,0.7,0.7,0.7,0.875,1.05,1.05,1.016666667,0.983333333,0.95,0.7
36,Alfalfa,0.4,0.4,0.4,0.4,0.4,0.675,0.95,0.95,0.766666667,0.583333333,0.4,0.4
37,Other Hay/Non Alfalfa,0.5,0.5,0.5,0.5,0.5,0.7,0.9,0.9,0.883333333,0.866666667,0.85,0.5
39,Buckwheat,0.3,0.3,0.3,0.3,0.3,0.725,1.15,1.15,0.9,0.65,0.4,0.3
41,Sugarbeets,0.35,0.35,0.35,0.35,0.35,0.775,1.2,1.2,1.033333333,0.866666667,0.7,0.35
42,Dry Beans,0.4,0.4,0.4,0.4,0.4,0.775,1.15,1.15,0.883333333,0.616666667,0.35,0.4
43,Potatoes,0.5,0.5,0.5,0.5,0.5,0.825,1.15,1.15,1.016666667,0.883333333,0.75,0.5
44,Other Crops,0.7,0.7,0.7,0.7,0.7,0.875,1.05,1.05,1.016666667,0.983333333,0.95,0.7
46,Sweet Potatoes,0.5,0.5,0.5,0.5,0.5,0.825,1.15,1.15,0.983333333,0.816666667,0.65,0.5
47,Misc Vegs & Fruits,0.7,0.7,0.7,0.7,0.7,0.875,1.05,1.05,1.016666667,0.983333333,0.95,0.7
49,Onions,0.7,0.7,0.7,0.7,0.7,0.875,1.05,1.05,0.95,0.85,0.75,0.7
50,Cucumbers,0.6,0.6,0.6,0.6,0.6,0.8,1,1,0.916666667,0.833333333,0.75,0.6
53,Peas,0.5,0.5,0.5,0.5,0.5,0.825,1.15,1.15,1.133333333,1.116666667,1.1,0.5
57,Herbs,0.7,0.7,0.7,0.7,0.7,0.875,1.05,1.05,1.016666667,0.983333333,0.95,0.7
58,Clover/Wildflowers,0.4,0.4,0.4,0.4,0.4,0.675,0.95,0.95,0.933333333,0.916666667,0.9,0.4
59,Sod/Grass Seed,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
60,Switchgrass,0.4,0.4,0.4,0.4,0.4,0.75,1.1,1.1,0.9,0.7,0.5,0.4
61,Fallow/Idle Cropland,0.4,0.4,0.4,0.4,0.4,0.675,0.95,0.95,0.933333333,0.916666667,0.9,0.4
64,Shrubland,0.14,0.23,0.23,0.23,0.35,0.35,0.35,0.42,0.42,0.42,0.14,0.14
65,Barren,0.4,0.4,0.4,0.4,0.4,0.675,0.95,0.95,0.933333333,0.916666667,0.9,0.4
68,Apples,0.5,0.5,0.5,0.5,0.5,0.85,1.2,1.2,1.116666667,1.033333333,0.95,0.5
70,Christmas Trees,0.44,0.37,0.37,0.37,0.49,0.49,0.49,0.52,0.52,0.52,0.44,0.44
111,Open Water,1.25,1.25,1.25,1.25,0.65,0.65,0.65,0.65,0.65,0.65,1.25,1.25
121,Developed/Open Space,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
122,Developed/Low Intensity,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
123,Developed/Med Intensity,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195
124,Developed/High Intensity,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255
131,Barren,0.4,0.4,0.4,0.4,0.4,0.675,0.95,0.95,0.933333333,0.916666667,0.9,0.4
141,Deciduous Forest,0.3,0.3,0.3,0.3,0.65,0.65,0.65,0.6,0.6,0.6,0.3,0.3
142,Evergreen Forest,0.44,0.37,0.37,0.37,0.49,0.49,0.49,0.52,0.52,0.52,0.44,0.44
143,Mixed Forest,0.33,0.31,0.31,0.31,0.61,0.61,0.61,0.58,0.58,0.58,0.33,0.33
152,Shrubland,0.14,0.23,0.23,0.23,0.35,0.35,0.35,0.42,0.42,0.42,0.14,0.14
176,Grassland/Pasture,0.4,0.4,0.4,0.4,0.4,0.675,0.95,0.95,0.933333333,0.916666667,0.9,0.4
190,Woody Wetlands,0.3,0.3,0.3,0.3,0.65,0.65,0.65,0.6,0.6,0.6,0.3,0.3
195,Herbaceous Wetlands,0.3,0.3,0.3,0.3,0.3,0.75,1.2,1.2,0.9,0.6,0.3,0.3
205,Triticale,0.3,0.3,0.3,0.3,0.3,0.725,1.15,1.15,0.9,0.65,0.4,0.3
